Price,Square,North,East,Parking,Drying Yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
1000000,115,10.743698,106.68112,0,0,0,0,1,0,1,1,0,0
3500000,20,10.88059,106.58929,0,0,0,1,0,0,0,0,0,1
1000000,60,10.7816844,106.6658448,0,0,1,0,1,0,1,1,0,1
1000000,45,10.7754672,106.6636584,0,0,1,0,1,0,1,1,0,1
3500000,25,10.83525,106.7664,1,0,1,0,0,0,0,1,0,0
4500000,25,10.7879533,106.6435921,1,0,0,0,1,0,0,0,1,0
4000000,20,10.87031364,106.6081162,1,0,1,0,1,0,1,1,0,0
2000000,20,10.81767949,106.7091448,0,1,1,0,1,0,1,1,1,1
1500000,25,10.82970142,106.7134323,1,1,1,0,1,0,1,1,0,1
4500000,25,10.806202,106.694987,1,0,0,0,0,0,0,0,0,0
2500000,20,10.8913814,106.6802353,1,0,0,0,1,0,0,0,0,0
5500000,30,10.79882,106.64684,0,0,0,0,0,0,0,0,0,0
3500000,30,10.7888231,106.7149601,1,1,0,0,0,0,0,1,0,0
6500000,30,10.795947,106.665968,1,1,0,0,1,0,1,1,1,1
5000000,25,10.7884485,106.6765711,1,1,1,1,1,0,1,1,0,1
3500000,30,10.8084642,106.709646,1,0,0,0,1,0,0,0,0,0
1000000,15,10.81531525,106.4675598,0,0,0,0,0,0,0,0,0,0
3500000,20,10.83687,106.68376,0,0,0,0,0,0,0,0,1,0
3000000,20,10.84419383,106.744933,0,0,1,0,0,0,0,0,0,0
2500000,20,10.77858,106.62681,1,0,1,0,0,0,0,0,0,0
3000000,25,10.76745,106.6829,1,1,1,0,1,0,0,1,0,1
5500000,45,10.7858705,106.6246875,1,0,0,0,1,0,0,1,1,0
1000000,25,10.77675,106.65539,1,0,1,0,0,0,0,0,0,1
1500000,40,10.75313,106.71991,1,0,1,1,1,0,1,1,0,1
3500000,15,10.75467,106.68626,1,0,1,0,1,1,0,0,0,1
3500000,20,10.82871,106.69215,1,0,0,0,1,0,0,1,1,0
5000000,25,10.79090495,106.7179263,1,0,1,0,1,0,1,0,0,1
5500000,30,10.80421,106.71007,1,0,0,0,1,1,1,1,0,0
4500000,20,10.78875923,106.6758194,1,0,0,1,1,0,0,0,0,0
3500000,25,10.82970142,106.7134323,1,0,0,0,0,0,0,1,0,0
4500000,30,10.8094403,106.7133532,1,0,1,0,0,0,0,1,0,0
2500000,30,10.85135,106.65929,1,0,0,0,0,0,0,0,0,0
2000000,20,10.85135,106.65929,1,0,0,0,0,0,0,0,0,0
6500000,25,10.7936626,106.6502584,1,1,1,1,0,0,1,1,1,1
2500000,20,10.8254,106.69482,1,0,0,0,0,0,0,0,0,0
4000000,25,10.744281,106.638919,1,0,1,0,1,0,0,1,0,1
3000000,15,10.7789121,106.692179,1,0,0,0,0,0,0,0,0,0
3500000,30,21.07506,105.78715,0,0,1,1,1,0,0,0,0,1
1500000,10,10.7655,106.66039,1,0,0,0,0,0,0,0,0,0
3000000,20,10.804475,106.687083,1,1,0,0,0,0,0,1,0,0
