Price,Square,District,Parking,Drying yard,AC,Water heater,Washing machine,TV,Fridge,Kitchen,Elevator,Bed
1200000,115,8,0,0,0,0,1,0,1,1,0,0
3300000,18,Hoc Mon,0,0,0,1,0,0,0,0,0,1
1200000,60,10,0,0,1,0,1,0,1,1,0,1
1200000,45,10,0,0,1,0,1,0,1,1,0,1
3500000,25,9,1,0,1,0,0,0,0,1,0,0
4600000,25,Tan Binh,1,0,0,0,1,0,0,0,1,0
3800000,22,Hoc Mon,1,0,1,0,1,0,1,1,0,0
1900000,200,Binh Thanh,0,1,1,0,1,0,1,1,1,1
1300000,25,Thu Duc,1,1,1,0,1,0,1,1,0,1
4450000,25,Binh Thanh,1,0,0,0,0,0,0,0,0,0
2700000,18,12,1,0,0,0,1,0,0,0,0,0
5500000,30,Binh Thanh,0,0,0,0,0,0,0,0,0,0
3500000,30,Binh Thanh,1,1,0,0,0,0,0,1,0,0
6500000,30,3,1,1,0,0,1,0,1,1,1,1
5000000,25,3,1,1,1,1,1,0,1,1,0,1
3500000,30,Binh Thanh,1,0,0,0,1,0,0,0,0,0
900000,16,Duc Hoa,0,0,0,0,0,0,0,0,0,0
3500000,20,Go Vap,0,0,0,0,0,0,0,0,1,0
3000000,20,Thu Duc,0,0,1,0,0,0,0,0,0,0
2300000,20,Tan Phu,1,0,1,0,0,0,0,0,0,0
3000000,25,3,1,1,1,0,1,0,0,1,0,1
5600000,45,Tan Phu,1,0,0,0,1,0,0,1,1,0
900000,25,11,1,0,1,0,0,0,0,0,0,1
1300000,40,7,1,0,1,1,1,0,1,1,0,1
3700000,16,5,1,0,1,0,1,1,0,0,0,1
3300000,20,Go Vap,1,0,0,0,1,0,0,1,1,0
5200000,25,Binh Thanh,1,0,1,0,1,0,1,0,0,1
5300000,30,Binh Thanh,1,0,0,0,1,1,1,1,0,0
4500000,20,3,1,0,0,1,1,0,0,0,0,0
3500000,25,Thu Duc,1,0,0,0,0,0,0,1,0,0
4700000,30,Binh Thanh,1,0,1,0,0,0,0,1,0,0
2500000,28,Go Vap,1,0,0,0,0,0,0,0,0,0
2100000,22,Go Vap,1,0,0,0,0,0,0,0,0,0
6500000,25,Tan Binh,1,1,1,1,0,0,1,1,1,1
2600000,20,Go Vap,1,0,0,0,0,0,0,0,0,0
4100000,25,6,1,0,1,0,1,0,0,1,0,1
3000000,15,3,1,0,0,0,0,0,0,0,0,0
